i,x1[i],T1[i],P1[i],v1[i],rho1[i],alfa1[i],T3[i],P3[i],v3[i],rho3[i],alfa3[i],T2[i],T4[i]
820,0.41,961.422136688057,16099821.4672328,6.42052759210474,27.2672977243127,4478.58742094349,718.094136800399,14999063.3412598,12.6707267976973,5.02433508773368,3288.67491206363,861.066234637241,751.992114667681
821,0.4105,961.395754183681,16099821.2305315,6.42035150000155,27.2680455892551,4478.5801138395,718.405826205014,14999062.5274681,12.6762272258002,5.02215494427123,3288.89309464573,861.133606867154,752.168372568168
822,0.411,961.36939576014,16099820.9938108,6.42017556871657,27.2687928121695,4478.57281252822,718.71682267313,14999061.7142281,12.6817154272103,5.01998153184884,3289.11062402737,861.199333648804,752.256198458122
823,0.4115,961.343061659485,16099820.7570702,6.41999979986639,27.2695393860804,4478.56551698542,719.026919679158,14999060.9017726,12.6871877575963,5.01781627679005,3289.32750150965,861.2660029505,752.430811882375
824,0.412,961.316751446938,16099820.5203102,6.41982419054729,27.2702853232123,4478.55822718628,719.336324721919,14999060.0898689,12.6926478784563,5.01565771353462,3289.54372892113,861.331042195337,752.517648759406
825,0.4125,961.290465360412,16099820.2835306,6.41964874234821,27.2710306167073,4478.55094310654,719.644832801872,14999059.2787479,12.698092172387,5.01350725545968,3289.75930754882,861.39700804107,752.690621502573
826,0.413,961.264202969168,16099820.0467318,6.41947345239242,27.2717752786779,4478.54366472134,719.952649889804,14999058.4681787,12.7035242739236,5.01136345033296,3289.97423920301,861.461359024004,752.776468416143
827,0.4135,961.237964507028,16099819.8099137,6.41929832224154,27.2725193023826,4478.53639200638,720.259572501415,14999057.6583906,12.7089405923999,5.00922769871383,3290.18852515676,861.526620867464,752.947804248241
828,0.414,961.211749547241,16099819.5730765,6.41912334904547,27.273262699823,4478.52912493676,720.5658050902,14999056.8491545,12.7143447355777,5.00709856156544,3290.40216720233,861.590282846983,753.032660255009
829,0.4145,961.185558319582,16099819.3362202,6.4189485343388,27.2740054643729,4478.52186348812,720.871145676359,14999056.0406977,12.7197331393386,5.00497742675664,3290.61516659897,861.654840123111,753.202362921008
830,0.415,961.159390401241,16099819.0993452,6.41877387529775,27.2747476079244,4478.51460763553,721.175797206766,14999055.2327929,12.7251093848593,5.00286286831491,3290.82752512108,861.717812341069,753.286227084723
831,0.4155,961.133246017991,16099818.8624512,6.41859937343018,27.2754891239652,4478.50735735459,721.479559195457,14999054.4256658,12.7304699343809,5.0007562615444,3291.03924401429,861.781664465861,753.454300304624
832,0.416,961.107124750909,16099818.6255386,6.41842502593827,27.2762300242796,4478.50011262032,721.782633093284,14999053.6190908,12.735818342682,4.99865619340734,3291.25032503532,861.843946147259,753.537171696012
833,0.4165,961.081026821816,16099818.3886073,6.41825083430349,27.2769703024677,4478.49287340828,722.08481989752,14999052.8132919,12.7411510981763,4.99656402676761,3291.46076941635,861.907092517579,753.703619164938
834,0.417,961.054951815626,16099818.1516577,6.41807679575365,27.2777099702072,4478.48563969344,722.38631957353,14999052.008045,12.74647172943,4.99447836139398,3291.67057889662,861.968682870349,753.785496861598
835,0.4175,961.02889995025,16099817.9146895,6.4179029117441,27.2784490212097,4478.47841145131,722.686934591291,14999051.2035726,12.7517767508436,4.99240054783318,3291.87975469498,862.031122863736,753.950322249869
836,0.418,961.00287081439,16099817.6777032,6.41772917952795,27.2791874670477,4478.47118865684,722.986863441147,14999050.3996523,12.7570696649559,4.99032919853371,3292.08829853338,862.092021078519,754.031205336165
837,0.4185,960.976864622092,16099817.4406986,6.41755560053473,27.2799253015428,4478.46397128547,723.285910055317,14999049.596505,12.7623470119693,4.98826565184694,3292.29621161753,862.153754052989,754.194412289391
838,0.419,960.950880965798,16099817.2036761,6.41738217204254,27.2806625361636,4478.45675931211,723.584271459525,14999048.7939097,12.7676122685786,4.98620853277567,3292.50349565227,862.213959302919,754.27429985635
839,0.4195,960.924920055734,16099816.9666354,6.41720889545538,27.2813991648407,4478.44955271217,723.881753037831,14999047.9920858,12.7728620006049,4.98415916759636,3292.71015183028,862.274984596772,754.435891995511
840,0.42,960.898981488032,16099816.7295771,6.41703576807601,27.2821351989402,4478.44235146051,724.178550361672,14999047.1908141,12.7780996590811,4.98211619374206,3292.9161818395,862.33449603725,754.514783140718
841,0.4205,960.873065469137,16099816.4925009,6.4168627912832,27.2828706325004,4478.43515553248,724.474470256625,14999046.3903121,12.7833218352648,4.9800809255335,3293.12158685974,862.394812968872,754.674764062257
842,0.421,960.84717159883,16099816.2554072,6.41668996240403,27.2836054767861,4478.4279649029,724.7697068501,14999045.5903623,12.7885319547083,4.97805201271128,3293.32636856219,862.453629737346,754.752657889753
843,0.4215,960.821300079816,16099816.0182958,6.41651728279231,27.2843397259422,4478.42077954708,725.064068398928,14999044.7911807,12.7937266339243,4.97603075775824,3293.53052811397,862.513237605009,754.911031165657
844,0.422,960.795450515474,16099815.7811672,6.41634474979917,27.2850733911335,4478.41359943978,725.357747596694,14999043.9925513,12.7989092731647,4.97401582260118,3293.73406716967,862.57135882075,754.987926785842
845,0.4225,960.769623104816,16099815.5440211,6.41617236475374,27.2858064666105,4478.40642455627,725.650554121288,14999043.1946886,12.8040765140175,4.97200849800164,3293.93698688386,862.630256902411,755.144695963733
846,0.423,960.74381745477,16099815.3068579,6.41600012503085,27.2865389634392,4478.39925487128,725.942679242601,14999042.3973782,12.8092317316126,4.97000745795262,3294.13928889474,862.687681666286,755.220592493264
847,0.4235,960.718033760693,16099815.0696775,6.41582803193522,27.2872708759742,4478.39209036,726.23393404945,14999041.6008329,12.8143715924349,4.96801398160966,3294.34097434444,862.745869219388,755.375761096487
